,id,address,tower_name,building_type,rooms,garages,useful_area,latitude,longitude,point_estimate,minimum_estimate,maximum_estimate
19628,19628,"Rua Frei Caneca, 600",Torre única,Conjunto,-1,-1,-1,-23.55370310,-46.65317460,-1,-1,-1
19629,19629,"Rua Frei Caneca, 825",Torre única,Apartamento,1,1,14,-23.55470340,-46.65499480,-1,-1,-1
19630,19630,"Rua Frei Caneca, 903",Torre única,Apartamento,-1,-1,-1,-23.55502680,-46.65550770,-1,-1,-1
19631,19631,"Rua Frei Caneca, 91",Torre única,Conjunto,-1,-1,-1,-23.55184800,-46.64842900,-1,-1,-1
19632,19632,"Rua Frei Caneca, 92",Torre única,Apartamento,2,1,50,-23.55148570,-46.64874870,673645,572599,774692
19633,19633,"Rua Frei Caneca, 955",Torre única,Apartamento,1,-1,25,-23.55543840,-46.65589820,136843,116316,157369
19634,19634,"Rua Frei Caneca, 955",Torre única,Apartamento,1,-1,30,-23.55543840,-46.65589820,164211,139580,188843
19635,19635,"Rua Frei Duarte Jorge de Mendonca, 100",Torre única,Apartamento,3,2,110,-23.62657300,-46.73596360,663028,563574,762483
19636,19636,"Rua Frei Duarte Jorge de Mendonca, 100",Torre única,Cobertura,3,2,220,-23.62657300,-46.73596360,1326060,1127150,1524970
19637,19637,"Rua Frei Duarte Jorge de Mendonca, 126",Torre única,Apartamento,1,1,38,-23.62617080,-46.73566070,306450,260483,352418
19638,19638,"Rua Frei Duarte Jorge de Mendonca, 126",Torre única,Apartamento,1,1,42,-23.62617080,-46.73566070,338708,287902,389515
19639,19639,"Rua Frei Duarte Jorge de Mendonca, 67",Torre única,Apartamento,1,1,34,-23.62645460,-46.73607170,255133,216863,293403
19640,19640,"Rua Frei Melchior, 77",Torre única,Apartamento,3,2,128,-23.48747570,-46.61984520,945340,756272,1134410
19641,19641,"Rua Frei Vicente Salvador, 120",Torre única,Apartamento,-1,-1,-1,-23.49920140,-46.62849540,-1,-1,-1
19642,19642,"Rua Frei Vicente Salvador, 140",Torre única,Apartamento,-1,-1,-1,-23.49898850,-46.62849150,-1,-1,-1
19643,19643,"Rua Frei Vicente Salvador, 183",Torre única,Apartamento,4,3,190,-23.49857000,-46.62870940,1818260,1509150,2145540
19644,19644,"Rua Frei Vicente Salvador, 220",Torre única,Apartamento,3,2,85,-23.49823750,-46.62855890,627765,502212,753318
19645,19645,"Rua Frei Vicente Salvador, 276",Torre única,Apartamento,3,2,113,-23.49780330,-46.62844740,556552,473070,640035
19646,19646,Torre 2,Status,Apartamento,3,1,79,-23.49692510,-46.62867600,756013,627490,892095
19647,19647,Torre 2,Status,Apartamento,3,1,206,-23.49692510,-46.62867600,1971370,1636240,2326220
19648,19648,"Rua Fulvio Morgant, 669",Torre única,Apartamento,3,2,83,-23.47391300,-46.62928400,-1,-1,-1
19649,19649,"Rua Funchal, 111",Torre única,Apartamento,1,1,31,-23.59290120,-46.68773040,368621,324386,416542
